hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Levent Hotel Istanbul,4.1/5,118 reviews,"Talatpasa Caddesi Bacadibi Sokak No. 7, Gultepe Levent, Istanbul, Istanbul",4.3/5,4.2/5,4.0/5,4.1/5,41+,,258 sq ft,9.0,$54
Rox Hotel,4.1/5,575 reviews,"Cobancesme Mah. Kimiz Sok. No:24, Bahcelievler, Istanbul, Istanbul",4.3/5,4.2/5,4.2/5,4.2/5,26+,4.5/5 guest room rating,269 sq ft,12.0,$76
Hammamhane,5.0/5,146 reviews,"Firuzağa Mah. Cukurcuma Cad. No 45, Istanbul, Istanbul",4.9/5,5.0/5,4.8/5,4.9/5,69+,5/5 guest room rating,323 sq ft,10.0,$85
Salmakis Resort & Spa,4.0/5,142 reviews,"Bardakci Koyu, Mugla, Mugla",4.1/5,3.9/5,4.1/5,4.1/5,93+,3.7/5 guest room rating,269 sq ft,17.0,$87
Hotel Jakaranda Istanbul,4.1/5,127 reviews,"Huseyin Aga Mah. Buyuk Bayram Sok., No:14, Istanbul, Istanbul",4.2/5,4.3/5,3.6/5,4.0/5,21+,4.4/5 guest room rating,269 sq ft,5.0,$23
Yacht Club,4.5/5,108 reviews,"Camlik Mah. Pasa Cad No.4, Didim, Aydin",4.7/5,4.3/5,4.6/5,4.6/5,49+,4.3/5 guest room rating,398 sq ft,16.0,$83
Walton Hotels Taksim Pera,4.5/5,263 reviews,"Hamalbasi Cad No 28 Istanbul, Istanbul",4.7/5,4.7/5,4.1/5,4.5/5,33+,4/5 guest room rating,248 sq ft,6.0,$49
Crowne Plaza Istanbul - Oryapark,4.4/5,140 reviews,"Inkilap Mah. Kucuksu Caddesi, No:58, Umraniye, Istanbul",4.7/5,4.5/5,4.4/5,4.5/5,101+,4.3/5 guest room rating,355 sq ft,14.0,$76
Concorde De Luxe Resort - All Inclusive,4.2/5,199 reviews,"Kemeragzi Site Mh. Tesisler Cad. 358/1, Antalya, Antalya",4.3/5,4.2/5,4.1/5,4.1/5,82+,,355 sq ft,20.0,$155
Club Hotel Sera - All Inclusive,3.8/5,385 reviews,"Lara, Antalya",4.1/5,3.7/5,4.1/5,3.9/5,83+,3.6/5 guest room rating,269 sq ft,19.0,$117
Dila Hotel,4.0/5,623 reviews,"Muhurdar Fuat Sk. No 5, Kadikoy, Istanbul",4.0/5,4.2/5,3.7/5,3.9/5,42+,4.2/5 guest room rating,215 sq ft,10.0,$57
Viva La Vita Butik Otel,4.4/5,143 reviews,"Can Yücel Sk., Izmir, Izmir",4.5/5,4.5/5,4.4/5,4.4/5,32+,4.6/5 guest room rating,75 sq ft,4.0,$35
The Artisan Istanbul MGallery,4.4/5,562 reviews,"Omer Avni Mah Inonu Caddesi, No 42 Gumussuyu Istanbul, Istanbul, Istanbul",4.4/5,4.4/5,4.2/5,4.4/5,38+,4.5/5 guest room rating,323 sq ft,13.0,$132
Ferman Hilal Hotel,3.8/5,84 reviews,"Kocatepe Mahallesi, Topcu Caddesi - NO. 23-Taksim, Istanbul, Istanbul",3.8/5,4.0/5,3.7/5,3.8/5,25+,3.6/5 guest room rating,215 sq ft,11.0,$47
Elegance East Hotel - Boutique Class,4.1/5,279 reviews,"Barbaros Mahallesi Atatürk Cad No: 42/C, Antalya, Antalya, Antalya",4.2/5,4.3/5,4.0/5,3.8/5,26+,4.2/5 guest room rating,215 sq ft,12.0,$73
Costa Farilya Special Class Hotel Mugla,4.5/5,192 reviews,"Yali Mevkii No: 62, Gundogan, Mugla, Mugla",4.6/5,4.3/5,4.1/5,4.5/5,126+,4.6/5 guest room rating,365 sq ft,14.0,$129
The Parma Hotel Taksim,4.1/5,203 reviews,"Kocatepe Mah. Abdülhak Hamid Cad. No:22, Taksim - Istanbul, Istanbul",4.3/5,4.2/5,3.9/5,4.2/5,84+,4/5 guest room rating,301 sq ft,13.0,$103
Opale Hotel,4.5/5,55 reviews,"Müeyyedzade Mahallesi Maliye Cd., 1 1 Karakoy, Istanbul, Istanbul",4.6/5,4.7/5,4.3/5,4.6/5,58+,4/5 guest room rating,301 sq ft,7.0,$58
Veyron Hotels & Spa,3.8/5,138 reviews,"Esentepe Mh. Saglam Fikir Sk., No 1/1, Istanbul, Istanbul",4.1/5,4.0/5,4.3/5,4.1/5,48+,4.3/5 guest room rating,172 sq ft,14.0,$48
The Green Park Merter,3.3/5,416 reviews,"Nazim Erten Sokak No:13, Istanbul, Istanbul",3.3/5,3.3/5,3.4/5,3.3/5,56+,5/5 guest room rating,269 sq ft,14.0,$31
Ferman Hilal Hotel,3.8/5,84 reviews,"Kocatepe Mahallesi, Topcu Caddesi - NO. 23-Taksim, Istanbul, Istanbul",3.8/5,4.0/5,3.7/5,3.8/5,25+,3.6/5 guest room rating,215 sq ft,11.0,$47
Elegance East Hotel - Boutique Class,4.1/5,279 reviews,"Barbaros Mahallesi Atatürk Cad No: 42/C, Antalya, Antalya, Antalya",4.2/5,4.3/5,4.0/5,3.8/5,26+,4.2/5 guest room rating,215 sq ft,12.0,$73
Costa Farilya Special Class Hotel Mugla,4.5/5,192 reviews,"Yali Mevkii No: 62, Gundogan, Mugla, Mugla",4.6/5,4.3/5,4.1/5,4.5/5,126+,4.6/5 guest room rating,365 sq ft,14.0,$129
The Parma Hotel Taksim,4.1/5,203 reviews,"Kocatepe Mah. Abdülhak Hamid Cad. No:22, Taksim - Istanbul, Istanbul",4.3/5,4.2/5,3.9/5,4.2/5,84+,4/5 guest room rating,301 sq ft,13.0,$103
Opale Hotel,4.5/5,55 reviews,"Müeyyedzade Mahallesi Maliye Cd., 1 1 Karakoy, Istanbul, Istanbul",4.6/5,4.7/5,4.3/5,4.6/5,58+,4/5 guest room rating,301 sq ft,7.0,$58
Veyron Hotels & Spa,3.8/5,138 reviews,"Esentepe Mh. Saglam Fikir Sk., No 1/1, Istanbul, Istanbul",4.1/5,4.0/5,4.3/5,4.1/5,48+,4.3/5 guest room rating,172 sq ft,14.0,$48
The Green Park Merter,3.3/5,416 reviews,"Nazim Erten Sokak No:13, Istanbul, Istanbul",3.3/5,3.3/5,3.4/5,3.3/5,56+,5/5 guest room rating,269 sq ft,14.0,$31
Renaissance Istanbul Polat Bosphorus Hotel,4.3/5,501 reviews,"Barbaros Bulvari No: 145, Besiktas, Istanbul, Istanbul",4.5/5,4.4/5,4.3/5,4.4/5,120+,4.5/5 guest room rating,291 sq ft,15.0,$104
Melda Palace,4.2/5,136 reviews,"Hurma Mah 213 Sok No 6, Konyaalti, Konyaalti, Antalya",4.2/5,4.0/5,4.0/5,4.1/5,32+,5/5 guest room rating,1076 sq ft,16.0,$50
Istanbul Suites - Apartments,3.6/5,831 reviews,"Kucukayasofya Mah. Ozbekler Sok. No:4/1, Istanbul-Kadirga, Istanbul, Istanbul",3.8/5,3.8/5,3.0/5,3.6/5,75+,4/5 guest room rating,377 sq ft,15.0,$21
Olbia Hotel,3.7/5,129 reviews,"Arapsuyu Mahallesi, 603 Sokak No. 66, Konyaalti, Antalya",3.8/5,3.7/5,4.2/5,3.5/5,41+,4.4/5 guest room rating,164 sq ft,12.0,$38
Ramada Encore by Wyndham Istanbul Bayrampasa,4.0/5,206 reviews,"11 Bayrampasa Sehit Naci, Yenidogan District, Cakar Street, Istanbul, Istanbul",4.1/5,4.0/5,4.1/5,4.0/5,38+,5/5 guest room rating,258 sq ft,13.0,$58
Meyde Boutique & Suites,4.4/5,72 reviews,"Gursu Mah. 306 Sok. No 16 Konyaalti, Antalya",4.3/5,4.3/5,4.1/5,4.3/5,20+,5/5 guest room rating,291 sq ft,9.0,$24
Inncity Hotel Nişantaşı,4.0/5,113 reviews,"Halaskargazi Mah, Dershane Sok, No:20, Nisantasi Sisli, Istanbul, Istanbul",4.1/5,4.2/5,3.4/5,4.0/5,33+,4.4/5 guest room rating,183 sq ft,8.0,$46
Republika Ortaköy Aparts,4.1/5,174 reviews,"Balmumcu Mah Mustafa Izzet Efendi Sokak, No: 1 Ortakoy, Istanbul, Istanbul",4.2/5,4.0/5,4.4/5,4.2/5,37+,4.4/5 guest room rating,205 sq ft,10.0,$39
The Green Park Bostancı,3.3/5,448 reviews,"Içerenköy Mah. Manolya Sanayi Sok., No:36 Atasehir, Istanbul, Istanbul",3.3/5,3.4/5,3.0/5,3.1/5,45+,5/5 guest room rating,215 sq ft,15.0,$34
Acanthus & Cennet Barut Collection - All Inclusive,4.8/5,51 reviews,"Selimiye Mahallesi, Özal Caddesi, No:35, Side, Antalya",4.9/5,4.8/5,4.8/5,5.0/5,257+,5/5 guest room rating,365 sq ft,20.0,$282
Ahmet Efendi Konagi,4.4/5,132 reviews,"Ördekli Bakkal Sokak, Istanbul, Istanbul",4.5/5,4.4/5,4.3/5,4.4/5,79+,4.8/5 guest room rating,237 sq ft,6.0,$38
Dedeman Istanbul,3.2/5,867 reviews,"Yildiz Posta Caddest 50, Gayrettepe, Istanbul, Istanbul",3.4/5,3.4/5,3.3/5,3.1/5,108+,3.6/5 guest room rating,215 sq ft,16.0,$57
Opera Hotel Bosphorus,4.0/5,272 reviews,"İnönü Cad. No:26 Gümüşsuyu / Taksim, Istanbul, Istanbul",4.1/5,3.9/5,3.6/5,3.9/5,40+,,269 sq ft,14.0,$70
Niss Lara Hotel,4.3/5,37 reviews,"Caglayan Mahallesi 2049 Sokak, No. 16 Lara Antalya, Antalya, Antalya",4.4/5,4.4/5,4.2/5,4.3/5,79+,5/5 guest room rating,258 sq ft,13.0,$30
Harbour Suites,4.4/5,25 reviews,"Karagozler Mevkii, Fevzi Cakmak Caddesi Kapi No. 19, Mugla, Mugla",4.5/5,4.3/5,3.8/5,4.3/5,38+,5/5 guest room rating,807 sq ft,10.0,$185
Madi Otel Izmir,3.7/5,179 reviews,"Ismet Kaptan 1367 Sok No6 Konak, Izmir",3.8/5,3.9/5,3.3/5,3.6/5,39+,4.4/5 guest room rating,269 sq ft,10.0,$26
Avantgarde Levent Hotel - Boutique Class,4.2/5,158 reviews,"Buyukdere Cad.161, Zincirlikuyu-Levent, Istanbul, Istanbul",4.5/5,4.3/5,3.8/5,4.3/5,52+,4.5/5 guest room rating,377 sq ft,15.0,$80
Jurnal Hotel,3.5/5,110 reviews,"Asmali Mescit Mahallesi Jurnal Sokak, No:11, Istanbul, Istanbul",3.7/5,3.7/5,2.9/5,3.5/5,39+,,140 sq ft,4.0,$20
Avantgarde Hotel Taksim,3.9/5,117 reviews,"Abdulhakhamit Cad No 40-42, Istanbul, Istanbul",4.0/5,4.2/5,4.2/5,3.9/5,46+,4.2/5 guest room rating,215 sq ft,11.0,$74
Ramada by Wyndham Istanbul Asia,3.8/5,246 reviews,"Mahir Iz Cad. 32 Altunizade, Istanbul, Istanbul",3.9/5,3.8/5,3.8/5,3.8/5,55+,4.1/5 guest room rating,248 sq ft,15.0,$66
La Quinta by Wyndham Mugla,3.0/5,4 reviews,"Bardakçi Bay, No:29, Mugla, Mugla",2.5/5,3.0/5,0.0/5,2.8/5,37+,5/5 guest room rating,248 sq ft,12.0,$57
Crowne Plaza Istanbul - Harbiye,3.4/5,326 reviews,"Dolapdere Caddesi No.161, Sisli, Istanbul, Istanbul",3.6/5,3.5/5,3.5/5,3.5/5,79+,3.9/5 guest room rating,301 sq ft,16.0,$76
Kayi Hotel,4.5/5,140 reviews,"Tuzla Mah. 538 Sokak No 20, Mugla",4.7/5,4.6/5,4.1/5,4.6/5,51+,4.8/5 guest room rating,215 sq ft,7.0,$30
Crowne Plaza Istanbul - Old City,4.0/5,632 reviews,"Balabanaga Mahallesi, Fethibe, Laleli-Fatih, Istanbul, Istanbul",4.2/5,4.0/5,3.9/5,4.1/5,57+,,194 sq ft,14.0,$129
Noble22 Suites,4.0/5,62 reviews,"Gumussuyu Mah Kolcak Sk, No 11 Taksim, Istanbul",4.0/5,4.1/5,4.2/5,4.0/5,29+,4/5 guest room rating,377 sq ft,11.0,$89
Cinar Hotel,3.7/5,266 reviews,"Yesilkoy Mh., Bakirköy, Istanbul, Istanbul",4.1/5,3.8/5,3.7/5,3.7/5,51+,4.2/5 guest room rating,236 sq ft,12.0,$104
Manesol Boutique Galata,3.9/5,461 reviews,"Arapcami Mahallesi, Bankalar Caddesi, Billlur Sokak No:1/A Karaköy, Istanbul, Istanbul",4.3/5,4.0/5,3.7/5,4.0/5,33+,3.9/5 guest room rating,193 sq ft,10.0,$51
Spice Hotel & Spa All Inclusive,3.9/5,145 reviews,"Iskele Mevkii, Belek, Antalya",4.0/5,3.7/5,3.6/5,3.8/5,61+,4.4/5 guest room rating,387 sq ft,20.0,$143
The Corner Park Hotel,4.1/5,305 reviews,"Arapsuyu Mahallesi, Akdeniz Bulvari, 603 Sokak, No: 2, Konyaalti, Konyaalti, Antalya",4.0/5,4.0/5,4.0/5,3.9/5,52+,4.5/5 guest room rating,376 sq ft,11.0,$44
Raffles Istanbul,4.9/5,154 reviews,"Zorlu Center, Besiktas, Istanbul, Istanbul",4.9/5,4.9/5,4.8/5,4.8/5,72+,5/5 guest room rating,676 sq ft,16.0,$492
Sentire Hotels & Residences,4.6/5,90 reviews,"Sehit Muhtar Mahallesi Istiklal Caddesi, Mis Sokak No1, Istanbul, Istanbul",4.7/5,4.7/5,4.4/5,4.6/5,54+,5/5 guest room rating,322 sq ft,9.0,$107
Diamond Hotel,4.3/5,91 reviews,"Kalesah Mahallesi, Cide Yolu, Caddesi No. 59, Amasra, Bartin",4.5/5,4.2/5,3.0/5,4.3/5,30+,5/5 guest room rating,258 sq ft,10.0,$35
Motto Premium Hotel&Spa,4.2/5,63 reviews,"Kemal Seyfettin Elgin Bulvarı No 59, Marmaris, Mugla",4.5/5,4.2/5,4.0/5,4.3/5,39+,5/5 guest room rating,269 sq ft,13.0,$45
Club Capa Hotel,3.7/5,147 reviews,"Çukurbag Yarimadasi No:8, Kas, Antalya",3.6/5,3.7/5,3.5/5,3.6/5,163+,4.5/5 guest room rating,269 sq ft,8.0,$44
Cityloft 24,3.7/5,246 reviews,"Albay Sokak no 26, Kucukbakkalkoy, Atasehir, Istanbul",3.8/5,3.6/5,3.2/5,3.7/5,46+,4.1/5 guest room rating,431 sq ft,11.0,$25
Kumburgaz Marin Princess Hotel,3.7/5,136 reviews,"Kamiloba mah.Istanbul cad.No 97, Buyukcekmece, Istanbul, Istanbul",3.7/5,3.7/5,3.6/5,3.4/5,53+,3.9/5 guest room rating,280 sq ft,20.0,$51
Maroon Hotel Pera,4.0/5,120 reviews,"Meşrutiyet Caddesi no:17, Tepebaşı Beyoğlu, Istanbul",4.0/5,4.1/5,3.6/5,4.0/5,90+,3.9/5 guest room rating,236 sq ft,8.0,$57
The Lola Hotel,3.3/5,58 reviews,"Katip Sinan Cami Sk., Istanbul, Istanbul",3.5/5,3.5/5,2.6/5,3.2/5,36+,5/5 guest room rating,161 sq ft,6.0,$12
Malta Bosphorus Hotel,3.6/5,65 reviews,"Palanga Caddesi No:24, Ortaköy Beşiktaş, Istanbul, Istanbul",3.6/5,3.8/5,2.7/5,3.4/5,52+,3.6/5 guest room rating,215 sq ft,8.0,$97
Park By Clover,4.2/5,202 reviews,"Ergenekon Mahallesi, Papa Roncalli sokak no:122 d:1 Sisli, Istanbul",4.3/5,4.2/5,3.9/5,4.1/5,25+,4.6/5 guest room rating,193 sq ft,7.0,$38
Mercure Istanbul Altunizade,4.0/5,217 reviews,"Altunizade Mah Kisikli Cad, Oymaci Sok No 9 Altunizade, Istanbul, Istanbul",4.1/5,3.9/5,4.2/5,4.0/5,40+,4.6/5 guest room rating,301 sq ft,13.0,$70
Hideaway Hotel,4.7/5,143 reviews,"Anfitiyatro Sokak No. 7, Kas Merkez, Kas, Antalya",4.7/5,4.7/5,4.5/5,4.6/5,146+,5/5 guest room rating,172 sq ft,10.0,$66
The St. Regis Istanbul,4.7/5,130 reviews,"Mim Kemal Oke Cad No 35, Nisantasi Sisli, Istanbul, Istanbul",4.8/5,4.7/5,4.6/5,4.7/5,89+,4.4/5 guest room rating,495 sq ft,17.0,$309
WİSE HOTEL SPA & ADULT ONLY,3.7/5,113 reviews,"Sirinyali Mah.1512 Sok No 6, Antalya",4.1/5,3.9/5,3.7/5,3.8/5,69+,4.7/5 guest room rating,129 sq ft,13.0,$45
Ajia Hotel - Special Class,4.5/5,63 reviews,"Halide Edip Adivar Cd No. 27, Kanlica, Beykoz, Istanbul",4.6/5,4.5/5,3.5/5,4.4/5,52+,4.2/5 guest room rating,377 sq ft,13.0,$202
Luce Suite Hotel,3.5/5,135 reviews,"Inonu Mahallesi Turna Sokak No:5, Istanbul",3.5/5,3.7/5,3.6/5,3.2/5,44+,4/5 guest room rating,377 sq ft,6.0,$29
Ottopera Hotel,4.2/5,232 reviews,"Feridiye Street No. 95, Taksim, Istanbul, Istanbul",4.4/5,4.4/5,4.0/5,4.2/5,55+,3.8/5 guest room rating,205 sq ft,4.0,$19
Balcova Thermal Hotel,3.5/5,298 reviews,"Vali Hüseyin Caddesi No: 2, Izmir, Izmir",3.5/5,3.7/5,3.1/5,3.2/5,66+,,215 sq ft,18.0,$65
De Marêe,3.7/5,118 reviews,"sehsuvarbey mahalesi, cömertler sokak no 13, Istanbul, Istanbul",3.7/5,3.9/5,3.3/5,3.6/5,43+,4/5 guest room rating,151 sq ft,5.0,$14
Grand Oztanik Hotel Istanbul,3.2/5,116 reviews,"Topcu Cd No 9-11, Taksim, Istanbul, Istanbul",3.2/5,3.1/5,3.5/5,3.1/5,43+,,,14.0,
Ephesus Palace,4.5/5,124 reviews,"14 mayis mah 4027 sok no 15 Selcuk, Izmir",4.7/5,4.5/5,4.2/5,4.5/5,71+,4.1/5 guest room rating,431 sq ft,8.0,$18
HHK Hotel Downtown,4.2/5,42 reviews,"Emin Sinan Mah. Emin Sinan Hamami Sok., No 16 Fatih, Istanbul",4.2/5,4.1/5,3.4/5,4.0/5,59+,4/5 guest room rating,237 sq ft,6.0,$24
Cihangir Hotel,4.0/5,291 reviews,"Aslan Yatagi Sk. N0:17 Cihangir, Istanbul, Istanbul",4.3/5,4.1/5,4.0/5,4.1/5,33+,4.3/5 guest room rating,151 sq ft,10.0,$67
Adalya Port Hotel,3.9/5,397 reviews,"Selcuk Mh. Iskele Cd. No:72 Kaleiçi, Antalya",3.9/5,4.0/5,3.2/5,3.7/5,22+,3.9/5 guest room rating,344 sq ft,11.0,$40
Lara Park Hotel,3.5/5,110 reviews,"Güzeloba Mah. Lara Cad No:198, Antalya, Antalya",3.8/5,3.7/5,3.5/5,3.6/5,63+,4.4/5 guest room rating,269 sq ft,9.0,$30
Delphin Be Grand Resort - All Inclusive,4.4/5,59 reviews,"Lara Tourism Center, Kemeragzi, Antalya",4.4/5,4.2/5,4.3/5,4.3/5,101+,4.1/5 guest room rating,344 sq ft,19.0,$409
Triada Hotel,3.5/5,214 reviews,"Istiklal Street. Meselik ST. No: 4, Istanbul, Istanbul",3.5/5,3.7/5,3.1/5,3.4/5,75+,3.9/5 guest room rating,258 sq ft,6.0,$54
Ekinci Residence,4.1/5,221 reviews,"Yenisehir Mah. Osmanli Bulvari Sümbül, Sok. No:8, Kurtkoy, Istanbul",4.1/5,4.0/5,4.0/5,4.1/5,51+,4.3/5 guest room rating,592 sq ft,12.0,$43
S3 Orange Exclusive Hotel,4.1/5,67 reviews,"224 Sokak Belcekiz Mahallesi, Mugla, Mugla",4.2/5,4.2/5,3.8/5,3.9/5,81+,4.5/5 guest room rating,172 sq ft,9.0,$56
Anemon Hotel Galata - Special Class,4.2/5,238 reviews,"Bereketzade Mahallesi Buyukhendek Cad., Kuledibi, Istanbul, Istanbul",4.2/5,4.3/5,4.4/5,4.0/5,50+,4.6/5 guest room rating,194 sq ft,10.0,$68
Myy Homes,3.9/5,73 reviews,"Bati Mah. Hakimler Cikmazi Sk No1 Pendik, Istanbul, Istanbul",3.8/5,3.8/5,3.4/5,3.8/5,50+,5/5 guest room rating,258 sq ft,11.0,$32
Medproper Suites,3.9/5,108 reviews,"Mahmutbey mah.Peyami Safa Cad. 2534 Sok., No: 7, Istanbul, Istanbul",3.9/5,3.8/5,3.6/5,3.8/5,25+,4/5 guest room rating,753 sq ft,10.0,$27
The City Hotel,2.9/5,75 reviews,"Aksaray Mah. Namikkemal Cad. Manastirli, Rifat Sokak No 33, Aksaray, Fatih, Istanbul, Istanbul",3.4/5,3.1/5,2.4/5,3.2/5,19+,,205 sq ft,13.0,$38
Istanbul Life Hotel - Adults Only,4.4/5,199 reviews,"Rihtim Cd. Resit Efendi Sk No 11, Kadiköy, Istanbul",4.6/5,4.5/5,4.0/5,4.4/5,49+,,161 sq ft,5.0,$66
Porto Bello Hotel Resort & Spa,4.0/5,532 reviews,"Akdeniz Bulvari 1. Sk. Konyaalti, Konyaalti, Antalya",4.1/5,4.1/5,4.1/5,4.0/5,98+,,237 sq ft,,$108
Akkent Garden Hotel,4.2/5,80 reviews,"Akarca Mahallesi Yerguzlar Caddesi No:3, Mugla, Mugla",4.5/5,4.2/5,4.1/5,4.3/5,84+,4.6/5 guest room rating,237 sq ft,9.0,$29
Alican 2 Hotel,3.9/5,42 reviews,"1268 Sk., No. 12, Basmane, Izmir",3.9/5,3.9/5,4.1/5,3.9/5,9+,4.4/5 guest room rating,269 sq ft,5.0,$24
Cornelia Diamond Golf Resort & SPA,4.4/5,32 reviews,"Iskele Mevkii, Belek, Antalya",4.6/5,4.5/5,4.7/5,4.4/5,129+,5/5 guest room rating,452 sq ft,20.0,$440
Ramada by Wyndham Istanbul Old City,4.0/5,118 reviews,"Turgut Özal Millet Caddesi No: 82, Findikzade, Fatih, Istanbul, Istanbul",4.1/5,4.0/5,3.9/5,4.0/5,56+,3.8/5 guest room rating,161 sq ft,11.0,$73
Sealife Family Resort Hotel,3.8/5,760 reviews,"AntalyaSahil Seridi, Konyaalti, Antalya",4.0/5,3.9/5,3.6/5,3.8/5,90+,3.6/5 guest room rating,215 sq ft,20.0,$105
Royal City Hotel,3.3/5,56 reviews,"SIRINYALI MAH. ESKI LARA CAD. NO 175, Antalya, Antalya",3.2/5,3.6/5,2.9/5,3.1/5,24+,,215 sq ft,9.0,$28
London Hotel,3.8/5,147 reviews,"Hisar Cd, No 13 Oludeniz, Mugla",3.6/5,4.0/5,3.8/5,3.7/5,22+,4.3/5 guest room rating,194 sq ft,8.0,$20
Mercure Istanbul Bomonti,3.4/5,139 reviews,"A: Ergenekon, Cad.No:62/A Bomonti, Istanbul, Istanbul",3.6/5,3.4/5,3.5/5,3.6/5,106+,3.7/5 guest room rating,301 sq ft,17.0,$82
Express Inci Airport Hotel,3.5/5,188 reviews,"kartal tepe mahallesi, pamuk sokak no 13 sefaköy, Istanbul",3.6/5,3.8/5,2.8/5,3.4/5,30+,5/5 guest room rating,269 sq ft,7.0,$16
Nidya Hotel Galataport,3.7/5,302 reviews,"Meclis-i Mebusan Cad. No. 21, Tophane - Istanbul, Istanbul, Istanbul",3.8/5,3.8/5,3.6/5,3.7/5,47+,3.9/5 guest room rating,215 sq ft,15.0,$41
Best Western Premier Karsiyaka,4.2/5,117 reviews,"Anadolu Cad No:695 Karsiyaka, Izmir",4.3/5,4.2/5,3.6/5,4.2/5,78+,5/5 guest room rating,269 sq ft,13.0,$58
Florya House Hotel,3.8/5,167 reviews,"senlikköy mah. florya cd. no 42 bakirköy, D NO 42, Istanbul, Istanbul",4.0/5,4.0/5,3.3/5,3.9/5,49+,4.1/5 guest room rating,323 sq ft,8.0,$29
Sunprime C-Lounge Hotel - Adults Only,4.4/5,96 reviews,"Ahmet Tokus Cad. No:7, Sok. No:1, Oba Mevkii, Alanya, Antalya",4.8/5,4.4/5,4.2/5,4.6/5,66+,5/5 guest room rating,237 sq ft,13.0,$110
Air Boss Istanbul Airport and Fair Hotel,3.4/5,194 reviews,"Tevfik Bey Mh Muammer Aksoy Cd Akkus, sk No:1, Sefaköy, Istanbul, Istanbul",3.5/5,3.6/5,3.1/5,3.4/5,59+,3.7/5 guest room rating,172 sq ft,9.0,$24
Hotel The Pera Hill,4.0/5,154 reviews,"Tepebasi Mesrutiyet Caddesi No:39, Istanbul, Istanbul, Istanbul",4.0/5,4.2/5,3.9/5,3.8/5,50+,4.3/5 guest room rating,129 sq ft,7.0,$50
Style Hotel Sisli,3.3/5,168 reviews,"Merkez Mahallesi, Abide-i Hürriyet Cad., skenderolu Sokak No: 28/A, Sisli, Istanbul, Istanbul",3.5/5,3.3/5,3.4/5,3.4/5,42+,3.9/5 guest room rating,215 sq ft,8.0,$34
Ramada by Wyndham Beylikduzu,3.9/5,59 reviews,"Gokevler Mahallesi 529 Sokak 2, Istanbul, Istanbul",4.4/5,3.9/5,4.0/5,4.1/5,42+,5/5 guest room rating,215 sq ft,15.0,$66
Bilem High Class Hotel,3.4/5,367 reviews,"Sirinyali Mah.1512, Sok Eski Lara Yolu No:2, Antalya, Antalya",3.6/5,3.5/5,3.1/5,3.3/5,74+,3.9/5 guest room rating,279 sq ft,17.0,$54
Dencity Hotel,3.5/5,85 reviews,"Eskisehir Mah. Dolapdere Cad., Karabatak Sok. No.11, Taksim, Istanbul, Istanbul",3.8/5,3.8/5,3.1/5,3.6/5,95+,5/5 guest room rating,344 sq ft,12.0,$38
Best Western Plus Khan Hotel,4.0/5,181 reviews,"Elmali Mah. Kazim Özalp Cad. No: 10, Antalya",4.1/5,4.0/5,3.9/5,3.8/5,82+,4.6/5 guest room rating,344 sq ft,14.0,$63
Bebek Hotel By The Stay Collection Adults only,4.7/5,29 reviews,"Bebek Mah. Cevdet pasa Caddesi No 34, Bebek Besiktas, Istanbul, Istanbul",4.9/5,4.8/5,4.7/5,4.8/5,45+,5/5 guest room rating,377 sq ft,9.0,$261
Golden Horn İstanbul Hotel,3.3/5,95 reviews,"Hocapasa mah., Istasyon Arkasi Sok No:9, Istanbul, Istanbul",3.3/5,3.6/5,3.1/5,2.9/5,25+,,161 sq ft,11.0,$31
Side Prenses Resort Hotel & Spa - All Inclusive,4.0/5,151 reviews,"Side Mah. Inonu Bulvari No.29, Side, Antalya",4.1/5,4.0/5,3.8/5,3.9/5,52+,4.3/5 guest room rating,215 sq ft,17.0,$72
Kisla Pansiyon,4.1/5,67 reviews,"Elmali Mah. 7. sk. Veli Dogrusöyler ish., No 22, Antalya, Antalya",4.0/5,4.1/5,3.6/5,3.9/5,6+,3.8/5 guest room rating,108 sq ft,4.0,$14
Grand Corner Hotel - Boutique Class,3.6/5,195 reviews,"Anafartalar Caddesi No:783, Basmane, Izmir, Izmir",3.8/5,3.6/5,3.4/5,3.5/5,38+,4.2/5 guest room rating,269 sq ft,11.0,$37
Reyyan Hotel,3.8/5,430 reviews,"emin sinan mahallesi pertevpasa sokak, no 46, Istanbul, Istanbul",3.7/5,3.9/5,3.4/5,3.7/5,46+,4.1/5 guest room rating,172 sq ft,9.0,$14
Tunel Residence,3.9/5,410 reviews,"Sishane Evliya Celebi Mah., Mesrutiyet Cad. No: 96 Istanbul, Istanbul, Istanbul",3.9/5,4.0/5,4.0/5,3.8/5,47+,4.4/5 guest room rating,194 sq ft,18.0,$52
Lara Beach Homes,3.5/5,53 reviews,"Güzeloba mahallesi, 2383 daire no:7, Antalya, Antalya, Antalya",3.8/5,3.2/5,3.7/5,3.7/5,13+,5/5 guest room rating,194 sq ft,7.0,$23
Lara Beach Homes,3.5/5,53 reviews,"Güzeloba mahallesi, 2383 daire no:7, Antalya, Antalya, Antalya",3.8/5,3.2/5,3.7/5,3.7/5,13+,5/5 guest room rating,194 sq ft,7.0,$23
Roomers Nisantasi,3.7/5,43 reviews,"Halaskargazi Mah, 24 Kuyumcu Irfan Sk., Istanbul",3.9/5,3.9/5,4.0/5,3.7/5,34+,3.8/5 guest room rating,194 sq ft,5.0,$38
